,song_name,artist,url,track_id,description,listen_in_non_stress_regulating_setting,lyrics_is_a_important_part,response_id,strategy
158,デリヘル呼んだら君が来た,メガテラ・ゼロ,https://music.youtube.com/watch?v=BIIiCRQhnWw&si=WJKPHL7cbL5qGq1Q,,,Yes,No,R_8eLKaSUgqXjGFkl,diversion
192,私のアール,メガテラ・ゼロ,https://music.youtube.com/watch?v=Tsl-2_QMhqE&si=djf8vwLuj9DI_PcT,,,Yes,Yes,R_8eLKaSUgqXjGFkl,discharge
220,灯火の命題,メガテラ・ゼロ,https://music.youtube.com/watch?v=pUzHLc_5cb0&si=y8ErBwaLJi9wmNOD,,,Yes,Yes,R_8eLKaSUgqXjGFkl,discharge
193,Swing swing,The all-american rejects,https://open.spotify.com/track/003FTlCpBTM4eSqYSWPv4H,003FTlCpBTM4eSqYSWPv4H,,Yes,No,R_4lLXShteMUjWgMW,revival
111,Mr brightside,The killers,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,003vvx7Niy0yvhvHt4a68B,,Yes,No,R_4lLXShteMUjWgMW,"[('entertainment', 1), ('revival', 1)]"
263,Mr. Brightside,The Killers,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,003vvx7Niy0yvhvHt4a68B,,Yes,Yes,R_21AmFBgPw7UHYaR,"[('entertainment', 1), ('revival', 1)]"
421,Tisíc dnů mezi námi,Zuzana Navarová,https://open.spotify.com/track/00CCQLI5bEiT04PHjS2PHp,00CCQLI5bEiT04PHjS2PHp,it makes me want to dance and distract myself,Yes,,R_2Lp20qjXqfa7pVi,diversion
314,Hammer,Lorde,https://open.spotify.com/track/01U0X0ToQhK0AgvNUdyXQe,01U0X0ToQhK0AgvNUdyXQe,The instrumentals part is just sounds just so right,Yes,Yes,R_8cbeXQem84K93QF,strong_sensation
256,Into yesterday ,Sugar ray,https://open.spotify.com/track/02TQFXm2cV6uwOr2OmlYBC,02TQFXm2cV6uwOr2OmlYBC,,Yes,No,R_4lLXShteMUjWgMW,revival
403,Float,Olivia Dean,https://open.spotify.com/track/031T6v4JIcPlkbzOrpzOnv,031T6v4JIcPlkbzOrpzOnv,Calm,Yes,Yes,R_2HFaNp6YCRpC6NX,diversion
227,as good a reason ,Paris Paloma,https://open.spotify.com/track/03p1bgcOw398mneQ9H8891,03p1bgcOw398mneQ9H8891,,Yes,Yes,R_21AmFBgPw7UHYaR,revival
755,Thursday's Child Has Far To Go,TOMORROW X TOGETHER,https://open.spotify.com/track/04CHEoMbrLOiX8co3EG5dO,04CHEoMbrLOiX8co3EG5dO,I feel strengthened and seen by the hopeful lyrics and it reminds me of good memories with loved ones.,,,R_88HQeKMOYExgqkB,solace
588,Scheherazade: The Tale of the Kalendar Prince,Rimsky-Korsakov,https://open.spotify.com/track/04eShjKTWijeJJqGnhxpYK,04eShjKTWijeJJqGnhxpYK,,Yes,There are no lyrics,R_8PsV7EzuWKsJiKd,discharge
307,Boost up,"Fischer, flowdan",https://open.spotify.com/track/07Sm4SlYGZ4CRSxgwP3hUr,07Sm4SlYGZ4CRSxgwP3hUr,,Yes,No,R_28Tf4yRm44ixc8J,strong_sensation
233,Svefn-g-englar,Sigur Rós,https://open.spotify.com/track/07eGxuz8bL6QMsRqEe1Adu,07eGxuz8bL6QMsRqEe1Adu,The song is soothing and gives me the safe feeling of being able to allow myself to process things,Yes,No,R_2wNy3hFkKdHM4D0,"[('mental_work', 1), ('strong_sensation', 1)]"
129,Svefn-g-Englar,Sigur Ros,https://open.spotify.com/track/07eGxuz8bL6QMsRqEe1Adu,07eGxuz8bL6QMsRqEe1Adu,"Sadness is sometimes a feeling to pursue, and it is by far the most powerful, lingering emotion to me",Yes,No,R_2oS0VRFGHi3daXX,"[('mental_work', 1), ('strong_sensation', 1)]"
232,Something We Can Work Out,Big Society,https://open.spotify.com/track/07lrDEljcjVI9kfCgxcoXp,07lrDEljcjVI9kfCgxcoXp,Very chill song that just helps me calm down plus I enjoy listening to it,Yes,No,R_2oEDEWFXn3Qfhnk,mental_work
114,Blame ,Calvin Harris,https://open.spotify.com/track/07nH4ifBxUB4lZcsf44Brn,07nH4ifBxUB4lZcsf44Brn,,Yes,No,R_8l46mlZGFZsyKeB,entertainment
224,Way You Love,hello Stranger ,https://open.spotify.com/track/08hiKNxdKO24me6HkjJ4pL,08hiKNxdKO24me6HkjJ4pL,"So this song is quite upbeate yet caml, also the composition of the song scratches my brain in a certain way so it helps me take my mind of off the situation and specifically just listen to how the song is sung. The question of If the lyrics matter for this song is a yes and no because I usually listen to how they are sung rather then what they sing.",Yes,No,R_2oEDEWFXn3Qfhnk,mental_work
190,Obstaculo,Tainy,https://open.spotify.com/track/09Ax76xrXhUm13zCwkuxiv,09Ax76xrXhUm13zCwkuxiv,,,,R_8rid6Aiv4sOl6JB,revival
278,Six Months in a Leaky Boat,Split Enz,https://open.spotify.com/track/09SyWMKQWtzvMdaSKQFwxN,09SyWMKQWtzvMdaSKQFwxN,,Yes,Yes,R_82G8YEIvepM1XoE,strong_sensation
476,End of line ,Daft Punk ,https://open.spotify.com/track/09TlxralXOGX35LUutvw7I,09TlxralXOGX35LUutvw7I,Sci-fi!!,Yes,There are no lyrics,R_8l46mlZGFZsyKeB,diversion
202,Hopes and Dreams / Save the World (10 Year Anniversary Edition),RichaadEB,https://open.spotify.com/track/09f4akkv6ql6s9xHdBgpVO,09f4akkv6ql6s9xHdBgpVO,I feel euphoric listening to this,Yes,There are no lyrics,R_8ffCN43Rw9foEIC,discharge
531,Starburster,Fontaines D.C.,https://open.spotify.com/track/09ttHg3ZNVgDlYBZa1ZBw0,09ttHg3ZNVgDlYBZa1ZBw0,,Yes,Yes,R_21AmFBgPw7UHYaR,"[('discharge', 2)]"
193,Starburster,FDC,https://open.spotify.com/track/09ttHg3ZNVgDlYBZa1ZBw0,09ttHg3ZNVgDlYBZa1ZBw0,,Yes,Yes,R_8WCkweb3sC0gYTf,"[('discharge', 2)]"
247,Future Starts Slow,The Kills,https://open.spotify.com/track/0A0RBBTrgfq9eClnw6ZXT7,0A0RBBTrgfq9eClnw6ZXT7,,Yes,Yes,R_21AmFBgPw7UHYaR,revival
648,muszę się wyszumieć,ćpaj stajl,https://open.spotify.com/track/0AJsRqHxb8keXe2bJVYGqq,0AJsRqHxb8keXe2bJVYGqq,,Yes,Yes,R_20rEsSW9Ovvo74J,mental_work
432,Trouble,Laufey,https://open.spotify.com/track/0Ah2wJirVEGUITkcPU6ali,0Ah2wJirVEGUITkcPU6ali,Soft,No,Yes,R_2HFaNp6YCRpC6NX,diversion
100,505,arctic monkeys,https://open.spotify.com/track/0BxE4FqsDD1Ot4YuBXwAPp,0BxE4FqsDD1Ot4YuBXwAPp,,Yes,Yes,R_80YBLNTS9lnLPqc,strong_sensation
239,Arabian Nights,eeeeeh Disney?,https://open.spotify.com/track/0CKmN3Wwk8W4zjU0pqq2cv,0CKmN3Wwk8W4zjU0pqq2cv,,Yes,Yes,R_2TD9GoZ1onZyXu1,revival
731,Bring Me To Life,Evanescence,https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp,0COqiPhxzoWICwFCS4eZcp,,,,R_2966KcW8r5Hwja9,solace
752,happy survival,"childish gambino, khruangbin",https://open.spotify.com/track/0Ck3kW2KiRLjMOGiKzW3la,0Ck3kW2KiRLjMOGiKzW3la,,Yes,No,R_837aAI9nePo1QDT,solace
0,Never Gonna Leave Me,Sia,https://open.spotify.com/track/0CxcfOdUdejaxefmVnwU7F,0CxcfOdUdejaxefmVnwU7F,,Yes,Yes,R_2EnIdAMa8NYSXqV,entertainment
795,Man in the Rain,Mike Oldfield,https://open.spotify.com/track/0E8zloWYA3Li81CJqFa9fI,0E8zloWYA3Li81CJqFa9fI,Lyrics and the guitar solo make me feel accepted,Yes,Yes,R_2p9wWWpkx5peG4N,solace
778,4 AM,Olivver the Kid,https://open.spotify.com/track/0EUiQoy3DiXLeNqZtylmoX,0EUiQoy3DiXLeNqZtylmoX,,Yes,Yes,R_8PsV7EzuWKsJiKd,solace
