,Duration (in seconds),RecordedDate,ResponseId,Q3,Q1,Q4,Q5,Q5_7_TEXT,Q10,Q11,Q11_4_TEXT,Q14,Q16,Q18,Q19,Q20,Q20_10_TEXT,Q24,Q25,Q47,Q48,Q20#1_1_1,Q20#1_1_2,Q20#1_1_3,Q20#1_1_4,Q20#1_2_1,Q20#1_2_2,Q20#1_2_3,Q20#1_2_4,Q20#1_3_1,Q20#1_3_2,Q20#1_3_3,Q20#1_3_4,Q20#1_4_1,Q20#1_4_2,Q20#1_4_3,Q20#1_4_4,Q20#1_5_1,Q20#1_5_2,Q20#1_5_3,Q20#1_5_4,Q20#2_1,Q20#2_2,Q20#2_3,Q20#2_4,Q20#2_5,Q20#3_1,Q20#3_2,Q20#3_3,Q20#3_4,Q20#3_5,Q29,Q49,Q41#1_1_1,Q41#1_1_2,Q41#1_1_3,Q41#1_1_4,Q41#1_2_1,Q41#1_2_2,Q41#1_2_3,Q41#1_2_4,Q41#1_3_1,Q41#1_3_2,Q41#1_3_3,Q41#1_3_4,Q41#1_4_1,Q41#1_4_2,Q41#1_4_3,Q41#1_4_4,Q41#1_5_1,Q41#1_5_2,Q41#1_5_3,Q41#1_5_4,Q41#2_1,Q41#2_2,Q41#2_3,Q41#2_4,Q41#2_5,Q41#3_1,Q41#3_2,Q41#3_3,Q41#3_4,Q41#3_5,Q30,Q50,Q45#1_1_1,Q45#1_1_2,Q45#1_1_3,Q45#1_1_4,Q45#1_2_1,Q45#1_2_2,Q45#1_2_3,Q45#1_2_4,Q45#1_3_1,Q45#1_3_2,Q45#1_3_3,Q45#1_3_4,Q45#1_4_1,Q45#1_4_2,Q45#1_4_3,Q45#1_4_4,Q45#1_5_1,Q45#1_5_2,Q45#1_5_3,Q45#1_5_4,Q45#2_1,Q45#2_2,Q45#2_3,Q45#2_4,Q45#2_5,Q45#3_1,Q45#3_2,Q45#3_3,Q45#3_4,Q45#3_5,Q46,Q51,Q48#1_1_1,Q48#1_1_2,Q48#1_1_3,Q48#1_1_4,Q48#1_2_1,Q48#1_2_2,Q48#1_2_3,Q48#1_2_4,Q48#1_3_1,Q48#1_3_2,Q48#1_3_3,Q48#1_3_4,Q48#1_4_1,Q48#1_4_2,Q48#1_4_3,Q48#1_4_4,Q48#1_5_1,Q48#1_5_2,Q48#1_5_3,Q48#1_5_4,Q48#2_1,Q48#2_2,Q48#2_3,Q48#2_4,Q48#2_5,Q48#3_1,Q48#3_2,Q48#3_3,Q48#3_4,Q48#3_5,Q49.1,Q52,Q51#1_1_1,Q51#1_1_2,Q51#1_1_3,Q51#1_1_4,Q51#1_2_1,Q51#1_2_2,Q51#1_2_3,Q51#1_2_4,Q51#1_3_1,Q51#1_3_2,Q51#1_3_3,Q51#1_3_4,Q51#1_4_1,Q51#1_4_2,Q51#1_4_3,Q51#1_4_4,Q51#1_5_1,Q51#1_5_2,Q51#1_5_3,Q51#1_5_4,Q51#2_1,Q51#2_2,Q51#2_3,Q51#2_4,Q51#2_5,Q51#3_1,Q51#3_2,Q51#3_3,Q51#3_4,Q51#3_5,Q52.1,Q53,Q54#1_1_1,Q54#1_1_2,Q54#1_1_3,Q54#1_1_4,Q54#1_2_1,Q54#1_2_2,Q54#1_2_3,Q54#1_2_4,Q54#1_3_1,Q54#1_3_2,Q54#1_3_3,Q54#1_3_4,Q54#1_4_1,Q54#1_4_2,Q54#1_4_3,Q54#1_4_4,Q54#1_5_1,Q54#1_5_2,Q54#1_5_3,Q54#1_5_4,Q54#2_1,Q54#2_2,Q54#2_3,Q54#2_4,Q54#2_5,Q54#3_1,Q54#3_2,Q54#3_3,Q54#3_4,Q54#3_5,Q55,Q54,Q57#1_1_1,Q57#1_1_2,Q57#1_1_3,Q57#1_1_4,Q57#1_2_1,Q57#1_2_2,Q57#1_2_3,Q57#1_2_4,Q57#1_3_1,Q57#1_3_2,Q57#1_3_3,Q57#1_3_4,Q57#1_4_1,Q57#1_4_2,Q57#1_4_3,Q57#1_4_4,Q57#1_5_1,Q57#1_5_2,Q57#1_5_3,Q57#1_5_4,Q57#2_1,Q57#2_2,Q57#2_3,Q57#2_4,Q57#2_5,Q57#3_1,Q57#3_2,Q57#3_3,Q57#3_4,Q57#3_5,Q58,Q56
2,2982,2025-09-15 14:00:27,R_2p9wWWpkx5peG4N,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,23,Male,,Netherlands,"Polish, English",Most of the time,Moderately stressful,"Play games,Use social media,Sleep / Nap,Use substances (incl. alcohol)",,Often,Mainly or exclusively self-selected,Focusing on the melody and lyrics helps me take my mind away from my ruminating thoughts.,Yes,This Must Be The Place,Talking Heads,https://open.spotify.com/track/6aBUnkXuCEQQHAlTokv9or?si=b0225f2c6f68400a,"Beautiful lyrics and melody, lets me focus on it",Mother Of Pearl,Roxy Music,https://open.spotify.com/track/4yDPUrGef0gWT4LSS13lwy?si=699a05b16675422c,"Artsy song with poetic lyrics, again I focus on the song",Blue Lamp,Stevie Nicks,https://open.spotify.com/track/1ai4kUdzv3xq4EVh6DNWEB?si=7269ab8922cf471c,"Classic groovy rock with awesome vocals, brings back good memories",Quixoticelixer,Red Hot Chili Peppers,https://open.spotify.com/track/28w7CPWQCqQxt0YCzDN75b?si=5964c4fee45a471a,Nostalgic in a good way,Heaven's Open,Mike Oldfield,https://open.spotify.com/track/0Sx2X6HCtwFWsA932ocG3b?si=43938fffd40047bd,"Epic melody, have good memories with this song",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely easy,Yes,I've Seen Footage,Death Grips,https://open.spotify.com/track/7nCONy10IHp7XD3oYZ0lcx?si=c7a6fdbed8d3474a,"Aggressive, hypes me up",Hocus Pocus,Focus,https://open.spotify.com/track/6iZtDWu3FTuxu7AprIqA3Y?si=89fe4aded6d94a21,"Chaotic, but quiets my mind",365,Charli xcx,https://open.spotify.com/track/5h68SoVFGleijCtjEja3xG?si=0664c2e6698645ab,Energizes me,Deceptacon,Le Tigre,https://open.spotify.com/track/5773KSWFzg9kCc8yazjbSt?si=b295d4c384714a00,"Very energizing, I like the lyrics",Paranoid,Black Sabbath,https://open.spotify.com/track/2z71jdeVcC782NgsYZ6N8q?si=5c3f553b7cc34da6,"Fast, makes me want to do stuff",No,Yes,Yes,Yes,Yes,No,There are no lyrics,Yes,Yes,No,Extremely easy,Yes,(Feels Like) Heaven,Fiction Factory,https://open.spotify.com/track/3a7MoHJhyrq6RkToMqwghf?si=229659b26ac640b3,"beautiful song, I have strong memories with it",Dancing Barefoot,Patti Smith,https://open.spotify.com/track/4kPSjEg8u1U4pg2dHHMmtf?si=af88d71e865c4e96,"Powerful song, nice music",A Sorta Fairytale,Tori Amos,https://open.spotify.com/track/7Kwmac3lkTQ8tPyAVQ0L8G?si=d7e2c2c77d274f43,"Good vibes, makes me dreamy",Cecilia,Simon & Garfunkel,https://open.spotify.com/track/6QhXQOpyYvbpdbyjgAqKdY?si=57c9e8c70bf44522,Strong memories with this one,Look On,John Frusciante,https://open.spotify.com/track/36ccCX80FySyM06vW2xTvW?si=f72c827eb1ed42af,"Dark song, very sad, but great musically",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Somewhat difficult,Yes,Jesus I Was Evil,Darcy Clay,https://open.spotify.com/track/2jbTnXSqdqWRLHg8qvcQjx?si=eb3264be556c448b,"Loud, not very melodical, distracts very well",Slingrer Ned Ad Vestergade,Gnags,https://open.spotify.com/track/5yKegnu47AsC5E5uQ8Tbmo?si=33f61ac606a24f8a,"I don't understand Danish, so the lyrics distract me",For Your Love,Chilly,https://open.spotify.com/track/2XUqXGx8hcxpfRc6VJOpS3?si=9e6e3ff539d64b14,"Long repetetive song, a mix of everything, distracting",Insane in the Brain,Cypress Hill,https://open.spotify.com/track/1oTHteQbmJw15rPxPVXUTv?si=44abbdb69ef04574,"Silly hiphop song, I vibe with it tho",Salvation,The Cranberries,https://open.spotify.com/track/7KlTqYxhUnhspcx3PaN4Jn?si=bc2bed1b3bf34c18,"Powerful lyrics, rock music, catchy chorus, I forget about everything else",No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Somewhat difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,I'm Waiting For The Man,The Velvet Underground,https://open.spotify.com/track/3fElupNRLRJ0tbUDahPrAb?si=170b788364c9430f,"Repetetive melody, helps me calm down",The Leanover,Life Without Buildings,https://open.spotify.com/track/0lE2Jl13AfiAONJKrrXDxD?si=59f7bd0d6ba14b5b,"Dreamy vibes, makes me forget about the world",Just,Radiohead,https://open.spotify.com/track/1dyTcli07c77mtQK3ahUZR?si=f000be80d7e34fdc,"Reminds me that ""I do it to myself"" which helps me take responsibility",Eminence Front,The Who,https://open.spotify.com/track/0LN5gIsS5tQSmRzQrHSaTR?si=8c81a4f498f6488c,"Uplifting melody, makes me wanna do stuff",Pop Muzik,Robin Scott,https://open.spotify.com/track/43U1bCDTZAhhY1Y8mCkTG4?si=63935ff368244eec,"Funky song, makes my mood better",Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Somewhat easy,Yes,Landslide,Fleetwood Mac,https://open.spotify.com/track/5ihS6UUlyQAfmp48eSkxuQ?si=f4c2a826fef748c0,"Calm melody, inspiring lyrics",Someone Like You,Adele,https://open.spotify.com/track/3bNv3VuUOKgrf5hu3YcuRo?si=63bbf7c9844c4478,"Just a sad song, but lifts me up",Strange Overtones,David Byrne,https://open.spotify.com/track/7wXJyWtRktzx7shORVNX5B?si=472f3658845e4bb8,Calm melody soothes me,Mad World,Tears For Fears,https://open.spotify.com/track/0Qv7xi6uPSqH2k82tOkGSt?si=cfd2d0af32794893,The lyrics make me feel understood,Man in the Rain,Mike Oldfield,https://open.spotify.com/track/0E8zloWYA3Li81CJqFa9fI?si=f8f310abaca34a22,Lyrics and the guitar solo make me feel accepted,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Somewhat difficult,"I definitely wouldn't say that this survey takes 8-10 minutes :). I skipped the last section and it took me 44 minutes, and I think I was quite quick with filling in all the songs. But for each song you have to write the title, artist, provide a link and describe the feeling which takes some time. I really like the idea though, you should make a big playlist with all the submitted songs :). Or better yet, 6 different playlists per aspect from the paper you cited."
3,4679,2025-09-17 07:07:27,R_2Lp20qjXqfa7pVi,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,23,Female,,the Netherlands,"English, Czech, Dutch",Rarely,Not at all stressful,"Talk to someone,Exercise / Play sports,Listen to music,Use social media,Sleep / Nap,Consume food and/or non-alcoholic beverages,Use substances (incl. alcohol)",,Often,Equally self-selected and selected by another source,"I usually listen to the lyrics a lot which brings me to a different train of thought and make me feel more relaxed and joyful (depending on the type of music). A lot of the times I feel it in my body, I become more energised and hyped or sometimes more mindful and calm",Yes,Marie,Zuzana Navarova,https://open.spotify.com/track/48sRhLW56jGtBGzZCLK6AD?si=57f4af054b2d4818,The instruments of the song make a great atmosphere,Sisters,Saint Motel,https://open.spotify.com/track/64QZsTSNEUiqs8KeOPIrpg?si=e5690adb710f4bae,Fun song,Take it or Leave it ,Cage the Elephant,https://open.spotify.com/track/4cAyxZSDlcVS6CYaeBYrIJ?si=9e0e9efac2c044cd,"I caught myself listening to this few times I want to feel energised, its catchy", , , , , , , , ,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Neither easy nor difficult,Yes,Take it or Leave it ,Cage the Elephant,,,Views,Noga Erez,https://open.spotify.com/track/0xbzRAcL8vy7V3vyqedjj9?si=6fbffb77eb204c85,,Let's Go Surfing,The Drums,https://open.spotify.com/track/49skdn8Truaufvcz8BXmtT?si=307f8e38e87d4a1e,,,,,,,,,,Yes,Yes,Yes,,,Yes,No,No,,,Somewhat difficult,Yes,My Girl,Alice Phoebe Lou,https://open.spotify.com/track/78A461s30UJq8wSkkeSt8I?si=1e95ec7bafb04904,the melody and lyrics make me feel through every bit of the song,Child's Play,Alice Phoebe Lou,https://open.spotify.com/track/7rYkyuH5Nka7mOi2vPlkPe?si=1051cb22dd26457e,I feel the melody with my whole body,Space,Ruby Gill,https://open.spotify.com/track/6ikJBIpwt24JTbRhbRr5Ek?si=d54bb1eb0a844b7e,The lyrics strongly resonate with me and bring me a lot of bodily sensations and immersion,,,,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Somewhat easy,Yes,Marinade,Dope Lemon,https://open.spotify.com/track/2OFUamird9l49tMtwf8w3l?si=1a9e3c3b24424ca4,The chill vibes make me distracted ,Tisíc dnů mezi námi,Zuzana Navarová,https://open.spotify.com/track/00CCQLI5bEiT04PHjS2PHp?si=9e1b866e253e4986,it makes me want to dance and distract myself,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Neither easy nor difficult,Yes,Wraith Pinned to the Mist and Other Games ,of Montreal,https://open.spotify.com/track/0Ensfv1iBDcsOF6xNok14N?si=02b446ecdc1045cc,I love listening to this when I go on a run which helps me with stress,End of the Road,Noga Erez,https://open.spotify.com/track/2xP2RPD8Hk9EkM8JXlxp8g?si=d62bec5a5254426b,I love the energy ,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Somewhat difficult,Yes,If I'm being honest,dodie,https://open.spotify.com/track/5K2cBicu96Pf4mrBv3Jojk?si=913540284ef546e2,it is a powerful song,We Might Be Dead by Tomorrow,Soko,https://open.spotify.com/track/49A10weBfgwg4TUM3My7iv?si=db2d9c2be6ab46f1,makes me reallise how small we are,,,,,,,,,,,,,Yes,Yes,,,,Yes,Yes,,,,Somewhat difficult,Yes,Something Holy,Alice Phoebe Lou,https://open.spotify.com/track/4Ze5SH0jqUeBG8gIPx7M6d?si=78595914428748e6,"Her tunes and melodies always bring me at ease, I feel very seen and understood. She has beauitful lyrics in every song which are very relatable ",Parade,Kevin Morby,https://open.spotify.com/track/4AVpW8mXtkCVfUcPSjPZt6?si=5bdaf9b883d24034,It is the whole lyrics,Hlava v krupobití,Nerez,https://open.spotify.com/track/0JxTlAkFDajKAQdfUOf88O?si=fbb5806a9c5e40ed,"It is excatly abobut being stressed, worried",,,,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Somewhat easy,connect me with the guys that have the same taste in music please thank you
4,760,2025-09-18 04:09:11,R_2cD4oWRk402VtjH,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,23,Male,,Netherlands,"English, French, Italian",Most of the time,Moderately stressful,"Exercise / Play sports,Listen to music,Play games,Use social media,Sleep / Nap,Use substances (incl. alcohol)",,Often,Mainly or exclusively self-selected,It's usually calming to listen to music I already know.,Yes,Missed Connections,Chase Icon,https://open.spotify.com/track/5U9weANgUBxVYge1HLesDK?si=3b5074f7cd1f4c95,It's fun,Out of the Woods (Taylor's Version),Taylor Swift,https://open.spotify.com/track/1OcSfkeCg9hRC2sFKB4IMJ?si=b4b041f96cf64580,Distracting,You Only Live Once,The Strokes,https://open.spotify.com/track/4fPBB44eDH71YohayI4eKV?si=8468c17b0bad4341,Lyrics,x,x,x,x,t,t,t,t,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Somewhat easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,A Quick One Before the Eternal Worm Devours Connecticut,Have A Nice Life,https://open.spotify.com/track/34dkZZNQJzEJRqPkywYmEY?si=a253322531994691,,Mirrorball,Taylor Swift,https://open.spotify.com/track/2I8YAEA1VmCuP1wkJHMpTw?si=3ac2d841be704a20,,Blue Hair,TV Girl,https://open.spotify.com/track/39sDitIeCMrVX2QyXHY46t?si=a64fac94d0554d2bhttps://open.spotify.com/track/39sDitIeCMrVX2QyXHY46t?si=a64fac94d0554d2b,,,,,,,,,,Yes,Yes,Yes,,,There are no lyrics,Yes,Yes,,,Extremely easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Motion Sickness,Phoebe Bridgers,https://open.spotify.com/track/6LxcPUqx6noURdA5qc4BAT?si=801ab1add8f941c5,,Selfless,The Strokes,https://open.spotify.com/track/2t0wwvR15fc3K1ey8OiOaN?si=89eecda109bf4bcf,,A Quick One Before the Eternal Worm Devours Connecticut,Have A Nice Life,https://open.spotify.com/track/34dkZZNQJzEJRqPkywYmEY?si=a253322531994691,,,,,,,,,,No,Yes,Yes,,,Yes,Yes,There are no lyrics,,,Extremely easy,Yes,Johnny,Faye Webster,https://open.spotify.com/track/5tuBenbZ1Or9xENTyOKoGC?si=3a4afc86589e45a3,Interesting lyrics,Moon Song,Phoebe Bridgers,https://open.spotify.com/track/46RNrAkGsqWTDrv2ZPOAbx?si=e7a3ffecddd94942,,,,,,,,,,,,,,Yes,Yes,,,,Yes,Yes,,,,Extremely easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,809,2025-09-18 04:15:53,R_8GWFrgSDWQHf54N,Yes,Yes,No,Other:,Not enrolled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2098,2025-09-18 04:24:14,R_2LXRHlBulGggcW0,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,24,Female,,The Netherlands,"Spanish, English, French",Sometimes,Moderately stressful,"Talk to someone,Exercise / Play sports,Listen to music,Play games",,Often,Mainly or exclusively self-selected,"Most of the time when I listen to music is to remind myself to breathe in and out. Put myself out of the body tension when feeling very stressed. I usually clench my jaw and that turns out in pain that spreads to be a migraine, so listening to some music helps me realize what I’m doing",Yes,chichi,Tiger Mood,https://open.spotify.com/track/4UFPN3ZyAsPkFwx5DFg5yF?si=8c286eb83bd14bdb,Makes me happy,No Make Up,Zion.T,https://open.spotify.com/track/4ppKRxity3jJd2hGoVyD4u?si=9674fe2302cc4741,h,about time,Loyle Carner,https://open.spotify.com/track/36nAARGAPFW5omo7C9euJ9?si=4b977cd17eba482f,h,a,a,a,a,a,a,a,a,Yes,Yes,Yes,,,Yes,No,Yes,,,Somewhat easy,Yes,Jazz Cafe,East Frog,https://open.spotify.com/track/2MrffZEpsGbDoqTha96r5W?si=f0965b62f74d49c9,,Ring Ring Ring,"Tyler, The Creator",https://open.spotify.com/track/1lTqq0aC6r2bXLviQ3oaVt?si=4f82d64ddb18449e,Tyler in general is very energetic,Masaje Mental,"Xtragos, Kase.p",https://open.spotify.com/track/6xpUNk0oD8wUOUjmKuF8zP?si=60920df808344b51,The lyrics help with motivation and give me energy to keep going,,,,,,,,,Yes,Yes,No,,,No,No,Yes,,,Neither easy nor difficult,Yes,SAME,Militantes del Climax,https://open.spotify.com/track/5wcWEVdlO3DzX6E2ImPAzE?si=d6c2bb60540849f0,Very motivational song,Baño María,CA7RIEL & Paco Amoroso,https://open.spotify.com/album/1XX2taUAddEZQX4QinYxX2?si=D7c3iL6TRSiQaROMD8OS1w,The full album gives me a lot of motivation and focus when I need to feel in the zone,I’m in Love,Jelani Aryeh,https://open.spotify.com/track/6FxyVQIYfYMvXPFij4FDHx?si=0cc5acc470694eee,The beat is great and the whole song motivates me,,,,,,,,,Yes,Yes,Yes,,,Yes,No,No,,,Neither easy nor difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Smoking out the window,"Bruno Mars, Anderson.Paak, Silk Sonic",https://open.spotify.com/track/3xVZYkcuWalGudeKl861wb?si=cdcee1efa7674440,I listen to the full album when running to release stress,Coming of age ceremony,parkjiyoon,https://open.spotify.com/track/2adWXRegCboef5ZOjW3ffe?si=d2846013fa874122,Very motivational for some reason,,,,,,,,,,,,,Yes,No,,,,No,No,,,,Somewhat easy,Yes,"recently,",Liana Flores,https://open.spotify.com/track/1djCoU5rvnq2zXFyD2iqq4?si=a06dbc63aa324d13,Reminds of calm and gentle scenarios,I Fall In Love Too Easily,Chet Baker,https://open.spotify.com/track/0F845nujLVqCb0XMZCh5Pc?si=6a3ad83b934f4206,Chet Baker in general is very soothing and reminds me of good times,,,,,,,,,,,,,Yes,Yes,,,,No,No,,,,Somewhat difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3896,2025-09-18 05:31:14,R_8dZuFIGPzKr7XXa,Yes,Yes,Yes,Bachelor’s degree (Dutch: WO Bachelor),,21,Female,,Netherlands,"German, English",Sometimes,Very stressful,"Exercise / Play sports,Listen to music,Use social media,Consume food and/or non-alcoholic beverages",,Sometimes,Mainly or exclusively self-selected,"I listen to music when I am on a walk on before falling asleep, this results in day dreaming thereby drifting off and getting distracted from current worries. ",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extremely difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extremely difficult,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extremely difficult,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extremely difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,404,2025-09-18 07:32:02,R_8hGFpDjCoJ3Imuh,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,22,Female,,Netherlands,"Dutch, English, German",Rarely,Slightly stressful,"Sleep / Nap,Consume food and/or non-alcoholic beverages,Other(s):",Knitting,Rarely,Mainly or exclusively self-selected,,Yes,Making Flippy Floppy,Talking Heads,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Neither easy nor difficult,Yes,You Should Not Be Doing That,Amyl and The Sniffers,,,Liberty Belle,Fontaines DC,,,UNO II,Sports Team,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,Neither easy nor difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Tiny Bikini,Amyl and the Sniffers,,If I hear it being played live,RECAP,Kneecap,,If I hear it being played live,Dancer,IDLES,,If I hear it being played live,I Love You,Fontaines DC,,If I hear it being played live,1969,The Stooges,,,Yes,Yes,Yes,Yes,Yes,,,,,,Somewhat easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14089,2025-09-18 08:20:38,R_837aAI9nePo1QDT,Yes,Yes,Yes,Master’s degree (Dutch: WO Master),,22,Female,,Netherlands,"English, Mandarin, Malay",Sometimes,Very stressful,"Talk to someone,Exercise / Play sports,Listen to music,Use social media,Sleep / Nap",,Often,Mainly or exclusively self-selected,"depending on my mood, the music calms me down or energises me out of the stress. it can help me sleep sometimes",Yes,millionaire,"kelis, andre3000",,,dogtooth,tyler the creator,,,warm,dre'es ft. mia,,,amiga da minha mulher,seu jorge,,,nuyorican soul,carlos henriquez,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Neither easy nor difficult,Yes,bring da ruckus,wu tang clan,,,weird & wonderful,badbadnotgood,,,BLUH BLUH BLUH,by.alexander,,,aaj shanibar,rupa ,,,western union,"ecco2k, thaiboy digital, bladee",,,Yes,Yes,Yes,Yes,Yes,Yes,There are no lyrics,There are no lyrics,Yes,Yes,Somewhat easy,Yes,time moves slow,badbadnotgood ft. samuel t herring,,lets me wallow in the stress,superpowers,daniel caesar,,encourages me to get past in,time after time,step by step,,"one of my fav songs, makes me feel something",waves & moonlights,D2x,,"cheers me up, helps me feel good",shaking body,ezra collective,,"cheers me up, makes me want to get up and move",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,There are no lyrics,Somewhat easy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,self control,frank ocean,,,in a sentimental mood,ella fitzgerald,,,messy,olivia dean,,,,,,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Neither easy nor difficult,Yes,wanna quit all the time,faye webster,,,happy survival,"childish gambino, khruangbin",,,inner city blues (make me wanna holler),marvin gaye,,,sadness as a gift,adrianne lenker,,,,,,,Yes,Yes,Yes,Yes,,Yes,No,No,Yes,,Somewhat easy,
10,905,2025-09-18 08:53:04,R_8JhT8UqAoaImSVr,Yes,Yes,Yes,University of applied sciences (Dutch: HBO),,21,Female,,Netherlands,"Dutch, english, spanish",Sometimes,Moderately stressful,"Use social media,Consume food and/or non-alcoholic beverages",,Rarely,Equally self-selected and selected by another source,It helps to relax and calm down,Yes,Atlas,Pommelien thijs,,Makes me happy ,,,,,,,,,,,,,,,,,Yes,,,,,No,,,,,Somewhat difficult,Yes,Coconut mall,Mario kart,,Gives energy ,Hard gaan,Reinier zonneveld,,Wakes me up,,,,,,,,,,,,,No,Yes,,,,There are no lyrics,There are no lyrics,,,,Somewhat difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Froukje,,Makes me happy?,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,Extremely difficult,Yes,Ordinary ,Alexander warren,,Relaxing,,,,,,,,,,,,,,,,,Yes,,,,,No,,,,,Neither easy nor difficult,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2972,2025-09-19 01:15:22,R_2966KcW8r5Hwja9,Yes,Yes,Yes,University of applied sciences (Dutch: HBO),,24,Male,,Netherlands,"Dutch, English",Most of the time,Very stressful,"Talk to someone,Exercise / Play sports,Listen to music,Practice mindfulness / Meditation,Play games,Use social media,Sleep / Nap,Consume food and/or non-alcoholic beverages,Use substances (incl. alcohol)",,Often,Mainly or exclusively self-selected,It lowers my stress levels,Yes,Juno,Sabrina Carpenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat easy,Yes,P.Y.T.,Michael Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat easy,Yes,I'm Awake,Intervals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat easy,Yes,Espresso,Sabrina Carpenter,,,Concerning Hobbits,Howard Shore,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat easy,Yes,G.O.A.T.,Polyphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat easy,Yes,Stressed Out,21 pilots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat easy,Yes,Bring Me To Life,Evanescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat easy,UwU hewwo 
