Feature,PrincipalComponent,Loading
...1,PC1,0.002463915938949783
...1,PC2,0.006850780060273799
meta.duration,PC1,0.040601551315733675
meta.duration,PC2,-0.03187884449467432
meta.year,PC1,-0.00599635917332858
meta.year,PC2,0.11310874266482362
popularity,PC1,-0.03077303830631506
popularity,PC2,-0.009351023563888256
lowlevel.dissonance.mean,PC1,-0.1984778429633376
lowlevel.dissonance.mean,PC2,-0.12048808556170759
lowlevel.dissonance.stdev,PC1,0.17110907703871361
lowlevel.dissonance.stdev,PC2,0.12938573547987225
lowlevel.dynamic_complexity,PC1,0.14720547658472197
lowlevel.dynamic_complexity,PC2,0.04652165935293172
lowlevel.hfc.mean,PC1,-0.19201614620988902
lowlevel.hfc.mean,PC2,-0.08275370689397943
lowlevel.hfc.stdev,PC1,-0.1352472837965178
lowlevel.hfc.stdev,PC2,0.0014602041652538868
lowlevel.loudness_ebu128.integrated,PC1,-0.12960006205653266
lowlevel.loudness_ebu128.integrated,PC2,-0.01845478318232591
lowlevel.loudness_ebu128.loudness_range,PC1,0.13763039352391085
lowlevel.loudness_ebu128.loudness_range,PC2,0.008333445518407707
lowlevel.melbands_crest.mean,PC1,-0.07378274067188233
lowlevel.melbands_crest.mean,PC2,0.22106372491252746
lowlevel.melbands_crest.stdev,PC1,-0.11162499987946842
lowlevel.melbands_crest.stdev,PC2,0.14633066432641084
lowlevel.melbands_flatness_db.mean,PC1,0.1534094203433267
lowlevel.melbands_flatness_db.mean,PC2,0.19890823618181605
lowlevel.melbands_flatness_db.stdev,PC1,0.02412590383484764
lowlevel.melbands_flatness_db.stdev,PC2,0.18724490484235218
lowlevel.melbands_kurtosis.mean,PC1,-0.06375926629618164
lowlevel.melbands_kurtosis.mean,PC2,0.11665657960443697
lowlevel.melbands_kurtosis.stdev,PC1,-0.028796845730572385
lowlevel.melbands_kurtosis.stdev,PC2,0.03994073321934469
lowlevel.melbands_skewness.mean,PC1,-0.13160557131205453
lowlevel.melbands_skewness.mean,PC2,0.17178887811414015
lowlevel.melbands_skewness.stdev,PC1,-0.08804808618844183
lowlevel.melbands_skewness.stdev,PC2,0.13525395454360198
lowlevel.melbands_spread.mean,PC1,-0.142368012097715
lowlevel.melbands_spread.mean,PC2,-0.18708409268528625
